n_features,lambda,accuracy,f1,precision,recall,train_accuracy
4106,0.03932143643366819,0.5946717411988582,0.586347489507356,0.5988638500932852,0.5903954262826449,0.972407231208373
4905,2.572242439667123e-05,0.5313986679352997,0.5194177620445074,0.5363591888630607,0.5279411520265609,0.98441960038059
1292,143.78986267066333,0.7540437678401523,0.750974206901134,0.768449779989738,0.7518013578381595,0.8847526165556613
2503,0.0003632433038456928,0.6936251189343482,0.6889758070457692,0.7040466352477577,0.6912797483854501,0.9383920076117983
1120,0.7689309090321184,0.7454804947668887,0.7398176158022688,0.7554993749089071,0.7429093475621507,0.8753568030447193
4681,0.0025869359882251786,0.560418648905804,0.5509172505372726,0.5660987113766137,0.5571477640033936,0.9823977164605138
1667,8.529164693258485,0.7354900095147479,0.731400746077596,0.7503142790191174,0.7330983777221906,0.9029495718363464
925,1.1651624373788614,0.741674595623216,0.7360372665499714,0.7541414541537911,0.738378476542082,0.8622740247383445
2828,42496.02506986152,0.7321598477640342,0.7297337056673009,0.7688739928018421,0.727529033543868,0.7723596574690771
1086,14854.61530039476,0.7645099904852521,0.7618512217835299,0.7941355739363753,0.7598543943521837,0.7930542340627973
132,502800.1968638047,0.47621313035204565,0.45398693625617187,0.5986134076485816,0.4717996845352932,0.46574690770694577
2108,1512.144094782035,0.7773549000951475,0.7744114175743846,0.7916531719061176,0.7752696262688882,0.8991436726926736
2438,1910.7347588201965,0.7721217887725975,0.7703343896793574,0.7912250863859656,0.7699054193766652,0.9023549000951475
2685,555.5419268343636,0.7511893434823977,0.7477668486239698,0.7650968229124273,0.7495072752048175,0.9297098001902949
3314,788.5059032264228,0.7611798287345385,0.7578035467202908,0.7757881899717876,0.7589997582564433,0.9355375832540438
1986,32.353427159031305,0.7302568981921979,0.7245660144826205,0.7394773556135665,0.7269588595313101,0.9160323501427212
3474,14232.463554833563,0.7740247383444339,0.7705111676375475,0.7967013118802417,0.7696069088831434,0.8426498572787822
3592,918137.4003976143,0.4862036156041865,0.46609776126451524,0.613558429059274,0.4856689910710945,0.4894148430066603
3594,22360.878501130344,0.7564224548049476,0.7533851384318834,0.7840443358755218,0.7519272965084787,0.8220742150333016
4112,5443.679379664043,0.7859181731684111,0.7823322099815436,0.8063329857237805,0.7819297335547624,0.8923644148430067
4031,55.440792551615296,0.6493815413891532,0.643827915394054,0.6610093588809243,0.6468439469011467,0.9680066603235015
4154,5151.042689423068,0.7849666983824929,0.7815886286230165,0.8050829612573416,0.7813809561208047,0.8946241674595623
4345,1944.6197661514357,0.7730732635585157,0.7693982872133972,0.7885823052846447,0.771059867399491,0.9288772597526166
3140,89571.24446045962,0.7002854424357755,0.6987171110842614,0.747841287160241,0.6966502020451072,0.7202664129400571
2097,3800.733909603163,0.7821122740247384,0.7787711785517759,0.8003641356000137,0.7783060847755976,0.8760704091341579
4030,123743.73237340995,0.6731684110371076,0.6710518707950783,0.7246092254239704,0.6700944944347056,0.6988582302568982
4365,8.126678666886733,0.5975261655566128,0.5879005549271741,0.6022681612941977,0.5938533383380894,0.9775214081826832
460,6065.803686929787,0.7516650808753568,0.7461311545354506,0.7789830493595825,0.7465724559716377,0.7711703139866793
3112,0.17502159060423655,0.6550903901046622,0.6504336066530056,0.6645661652912175,0.6520623795395509,0.9556374881065651
3821,344.01228918300365,0.7221693625118935,0.7181176803964718,0.7349418402166701,0.7206137092811653,0.9551617507136061
4536,0.04159874593255544,0.5651760228353948,0.5542513160735693,0.5649034404874631,0.5617120119919745,0.980732635585157
2079,3492.8610120709754,0.7792578496669839,0.7760221364678767,0.7992110083768801,0.7750558976196952,0.8785680304471931
1612,4812.14280957363,0.7773549000951475,0.7737082266516687,0.7982876164014547,0.7729534223414745,0.8537107516650809
2201,216166.92860532057,0.6179828734538535,0.6148504685437887,0.695970484024508,0.6159206890046958,0.625
1699,46.80271981867948,0.7431018078020932,0.739016411745196,0.7559804113814501,0.7410214936207236,0.902117031398668
4882,177.7163489848022,0.6779257849666984,0.6721377333151421,0.6884595049289695,0.6752311867346862,0.9734776403425309
2768,5983.752246017652,0.7821122740247384,0.7782816564207437,0.8028934444217646,0.7781637034557111,0.8725023786869648
