set,combination,num_sensors,top_k,lambda_opt,accuracy
test,1-5-7,3,1000,10000.0,33.75
test,1-5-7,3,10000,10000.0,33.5
test,1-5-7,3,1500,10000.0,34.25
test,1-5-7,3,20,100.0,21.0
test,1-5-7,3,200,100.0,30.25
test,1-5-7,3,2000,10000.0,34.0
test,1-5-7,3,300,100.0,31.5
test,1-5-7,3,3000,10000.0,32.5
test,1-5-7,3,400,100.0,33.25
test,1-5-7,3,4000,10000.0,32.25
test,1-5-7,3,50,10.0,28.499999999999996
test,1-5-7,3,500,1000.0,32.75
test,1-5-7,3,5000,10000.0,32.5
test,1-5-7,3,600,10000.0,34.0
test,1-5-7,3,700,10000.0,33.25
test,1-5-7,3,800,10000.0,32.0
test,1-5-7,3,900,10000.0,32.75
test,1-5,2,10,100.0,13.0
test,1-5,2,100,1e-06,28.999999999999996
test,1-5,2,1000,10000.0,33.25
test,1-5,2,10000,10000.0,31.25
test,1-5,2,1500,10000.0,32.0
test,1-5,2,20,1e-06,19.75
test,1-5,2,200,100.0,29.25
test,1-5,2,2000,10000.0,31.25
test,1-5,2,300,100.0,30.5
test,1-5,2,3000,10000.0,32.0
test,1-5,2,400,100.0,32.5
test,1-5,2,4000,10000.0,31.25
test,1-5,2,50,10.0,27.500000000000004
test,1-5,2,500,1000.0,32.75
test,1-5,2,5000,10000.0,31.25
test,1-5,2,600,1000.0,33.75
test,1-5,2,700,10000.0,32.75
test,1-5,2,800,10000.0,33.0
test,1-5,2,900,10000.0,32.75
test,1-6-7,3,10,1.0,13.25
test,1-6-7,3,100,100.0,29.25
test,1-6-7,3,1000,10000.0,33.0
test,1-6-7,3,10000,10000.0,32.5
test,1-6-7,3,1500,10000.0,32.0
test,1-6-7,3,20,1.0,20.25
test,1-6-7,3,200,10.0,30.5
test,1-6-7,3,2000,10000.0,32.0
test,1-6-7,3,300,100.0,30.5
test,1-6-7,3,3000,10000.0,33.0
test,1-6-7,3,400,1000.0,34.0
test,1-6-7,3,4000,10000.0,32.5
test,1-6-7,3,50,0.1,27.750000000000004
test,1-6-7,3,500,1000.0,32.25
test,1-6-7,3,5000,10000.0,32.25
test,1-6-7,3,600,10000.0,33.0
test,1-6-7,3,700,10000.0,33.0
test,1-6-7,3,800,10000.0,33.75
test,1-6-7,3,900,10000.0,33.25
test,1-6,2,10,1e-06,14.000000000000002
test,1-6,2,100,10.0,29.75
test,1-6,2,1000,10000.0,32.0
test,1-6,2,10000,10000.0,30.25
test,1-6,2,1500,10000.0,32.5
test,1-6,2,20,1e-06,19.0
test,1-6,2,200,1000.0,30.5
test,1-6,2,2000,10000.0,31.25
test,1-6,2,300,1000.0,31.25
test,1-6,2,3000,10000.0,31.25
test,1-6,2,400,1000.0,34.0
test,1-6,2,4000,10000.0,30.75
test,1-6,2,50,100.0,28.000000000000004
test,1-6,2,500,1000.0,33.0
test,1-6,2,5000,10000.0,30.5
test,1-6,2,600,10000.0,32.5
test,1-6,2,700,10000.0,33.0
test,1-6,2,800,10000.0,32.75
test,1-6,2,900,10000.0,32.25
test,1-7,2,10,1e-06,13.0
test,1-7,2,100,1000.0,30.25
test,1-7,2,1000,10000.0,33.5
test,1-7,2,10000,10000.0,31.5
test,1-7,2,1500,10000.0,33.5
test,1-7,2,20,1e-06,19.75
test,1-7,2,200,100.0,30.0
test,1-7,2,2000,10000.0,32.75
test,1-7,2,300,100.0,32.25
test,1-7,2,3000,10000.0,32.0
test,1-7,2,400,1000.0,34.5
test,1-7,2,4000,10000.0,32.75
test,1-7,2,50,0.1,27.250000000000004
test,1-7,2,500,1000.0,32.0
test,1-7,2,5000,10000.0,32.0
test,1-7,2,600,10000.0,32.75
test,1-7,2,700,10000.0,32.0
test,1-7,2,800,10000.0,33.5
test,1-7,2,900,10000.0,33.0
test,2-3-4,3,10,1e-06,13.25
test,2-3-4,3,100,100.0,29.25
test,2-3-4,3,1000,10000.0,33.0
test,2-3-4,3,10000,10000.0,32.25
test,2-3-4,3,1500,10000.0,34.0
test,2-3-4,3,20,1.0,18.0
test,2-3-4,3,200,1000.0,29.5
test,2-3-4,3,2000,10000.0,33.0
test,2-3-4,3,300,10000.0,31.5
test,2-3-4,3,3000,10000.0,33.75
test,2-3-4,3,400,10000.0,33.0
test,2-3-4,3,4000,10000.0,33.5
test,2-3-4,3,50,1000.0,26.75
test,2-3-4,3,500,10000.0,34.5
test,2-3-4,3,5000,10000.0,33.0
test,2-3-4,3,600,10000.0,33.25
test,2-3-4,3,700,10000.0,33.5
test,2-3-4,3,800,10000.0,34.75
