set,combination,num_sensors,top_k,lambda_opt,accuracy
test,2-6-7,3,300,100.0,30.5
test,2-6-7,3,3000,10000.0,32.0
test,2-6-7,3,400,1000.0,33.5
test,2-6-7,3,4000,10000.0,33.0
test,2-6-7,3,50,1.0,27.500000000000004
test,2-6-7,3,500,1000.0,32.5
test,2-6-7,3,5000,10000.0,33.25
test,2-6-7,3,600,10000.0,33.75
test,2-6-7,3,700,10000.0,33.75
test,2-6-7,3,800,10000.0,34.75
test,2-6-7,3,900,10000.0,32.75
test,2-6,2,10,1e-06,12.75
test,2-6,2,100,100.0,28.000000000000004
test,2-6,2,1000,10000.0,31.5
test,2-6,2,10000,10000.0,32.25
test,2-6,2,1500,10000.0,32.75
test,2-6,2,20,1.0,19.0
test,2-6,2,200,1000.0,30.0
test,2-6,2,2000,10000.0,31.75
test,2-6,2,300,10000.0,33.0
test,2-6,2,3000,10000.0,31.5
test,2-6,2,400,1000.0,32.5
test,2-6,2,4000,10000.0,32.0
test,2-6,2,50,1.0,27.750000000000004
test,2-6,2,500,1000.0,32.25
test,2-6,2,5000,10000.0,31.5
test,2-6,2,600,1000.0,33.0
test,2-6,2,700,10000.0,32.25
test,2-6,2,800,10000.0,33.25
test,2-6,2,900,10000.0,32.25
test,2-7,2,10,1e-06,12.5
test,2-7,2,100,10.0,28.499999999999996
test,2-7,2,1000,10000.0,32.75
test,2-7,2,10000,10000.0,32.5
test,2-7,2,1500,10000.0,32.75
test,2-7,2,20,1e-06,20.0
test,2-7,2,200,1000.0,30.25
test,2-7,2,2000,10000.0,32.5
test,2-7,2,300,100.0,30.75
test,2-7,2,3000,10000.0,31.75
test,2-7,2,400,1000.0,32.75
test,2-7,2,4000,10000.0,32.25
test,2-7,2,50,1.0,28.000000000000004
test,2-7,2,500,10000.0,32.75
test,2-7,2,5000,10000.0,32.25
test,2-7,2,600,10000.0,32.5
test,2-7,2,700,10000.0,32.0
test,2-7,2,800,10000.0,32.25
test,2-7,2,900,10000.0,32.75
test,3-4-5,3,10,1.0,14.75
test,3-4-5,3,100,10.0,29.5
test,3-4-5,3,1000,10000.0,33.0
test,3-4-5,3,10000,10000.0,32.5
test,3-4-5,3,1500,10000.0,32.25
test,3-4-5,3,20,100.0,19.0
test,3-4-5,3,200,10.0,28.999999999999996
test,3-4-5,3,2000,10000.0,32.0
test,3-4-5,3,300,10.0,31.25
test,3-4-5,3,3000,10000.0,32.0
test,3-4-5,3,400,1000.0,32.0
test,3-4-5,3,4000,10000.0,32.25
test,3-4-5,3,50,100.0,28.000000000000004
test,3-4-5,3,500,1000.0,32.75
test,3-4-5,3,5000,10000.0,32.75
test,3-4-5,3,600,1000.0,31.25
test,3-4-5,3,700,1000.0,32.5
test,3-4-5,3,800,10000.0,34.25
test,3-4-5,3,900,10000.0,33.0
test,3-4-6,3,10,1e-06,14.249999999999998
test,3-4-6,3,100,100.0,29.5
test,3-4-6,3,1000,10000.0,32.5
test,3-4-6,3,10000,10000.0,32.25
test,3-4-6,3,1500,10000.0,32.75
test,3-4-6,3,20,100.0,18.25
test,3-4-6,3,200,10.0,29.5
test,3-4-6,3,2000,10000.0,32.0
test,3-4-6,3,300,1000.0,30.75
test,3-4-6,3,3000,10000.0,31.75
test,3-4-6,3,400,1000.0,31.5
test,3-4-6,3,4000,10000.0,32.0
test,3-4-6,3,50,1.0,28.999999999999996
test,3-4-6,3,500,1000.0,32.25
test,3-4-6,3,5000,10000.0,32.75
test,3-4-6,3,600,10000.0,33.75
test,3-4-6,3,700,10000.0,32.5
test,3-4-6,3,800,10000.0,33.0
test,3-4-6,3,900,10000.0,32.75
test,3-4-7,3,10,1e-06,13.5
test,3-4-7,3,100,10.0,29.5
test,3-4-7,3,1000,10000.0,34.5
test,3-4-7,3,10000,10000.0,33.75
test,3-4-7,3,1500,10000.0,33.25
test,3-4-7,3,20,0.1,20.25
test,3-4-7,3,200,1.0,29.5
test,3-4-7,3,2000,10000.0,33.25
test,3-4-7,3,300,10.0,32.0
test,3-4-7,3,3000,10000.0,32.5
test,3-4-7,3,400,100.0,32.75
test,3-4-7,3,4000,10000.0,32.75
test,3-4-7,3,50,1.0,27.250000000000004
test,3-4-7,3,500,10000.0,33.75
test,3-4-7,3,5000,10000.0,32.75
test,3-4-7,3,600,10000.0,33.75
test,3-4-7,3,700,10000.0,34.0
test,3-4-7,3,800,10000.0,33.75
test,3-4-7,3,900,10000.0,34.0
test,3-4,2,10,0.1,13.0
test,3-4,2,100,10.0,28.999999999999996
test,3-4,2,1000,10000.0,33.25
test,3-4,2,10000,10000.0,32.5
test,3-4,2,1500,10000.0,33.5
test,3-4,2,20,100.0,17.5
test,3-4,2,200,1000.0,30.0
test,3-4,2,2000,10000.0,33.25
test,3-4,2,300,100.0,30.5
test,3-4,2,3000,10000.0,33.5
test,3-4,2,400,10000.0,33.25
test,3-4,2,4000,10000.0,33.25
test,3-4,2,50,10.0,26.5
test,3-4,2,500,1000.0,33.0
test,3-4,2,5000,10000.0,33.25
test,3-4,2,600,10000.0,33.0
test,3-4,2,700,10000.0,32.0
test,3-4,2,800,10000.0,33.75
test,3-4,2,900,10000.0,33.75
test,3-5-6,3,10,0.1,16.25
test,3-5-6,3,100,100.0,30.25
test,3-5-6,3,1000,10000.0,33.0
test,3-5-6,3,10000,10000.0,33.0
test,3-5-6,3,1500,10000.0,33.25
test,3-5-6,3,20,10.0,18.25
test,3-5-6,3,200,10.0,30.0
test,3-5-6,3,2000,10000.0,31.75
test,3-5-6,3,300,100.0,32.75
test,3-5-6,3,3000,10000.0,32.5
test,3-5-6,3,400,1000.0,31.25
test,3-5-6,3,4000,10000.0,32.25
test,3-5-6,3,50,10.0,28.499999999999996
test,3-5-6,3,500,1000.0,31.75
test,3-5-6,3,5000,10000.0,32.25
test,3-5-6,3,600,1000.0,32.5
test,3-5-6,3,700,10000.0,33.0
test,3-5-6,3,800,10000.0,33.75
test,3-5-6,3,900,10000.0,33.25
test,3-5-7,3,10,0.1,15.25
test,3-5-7,3,100,10.0,30.5
test,3-5-7,3,1000,10000.0,34.25
test,3-5-7,3,10000,10000.0,33.5
test,3-5-7,3,1500,10000.0,34.25
test,3-5-7,3,20,1.0,21.0
test,3-5-7,3,200,100.0,29.75
test,3-5-7,3,2000,10000.0,33.25
test,3-5-7,3,300,10.0,31.75
test,3-5-7,3,3000,10000.0,33.0
test,3-5-7,3,400,1000.0,32.5
test,3-5-7,3,4000,10000.0,32.5
test,3-5-7,3,50,10.0,28.249999999999996
test,3-5-7,3,500,1000.0,32.5
test,3-5-7,3,5000,10000.0,33.0
test,3-5-7,3,600,10000.0,33.75
test,3-5-7,3,700,10000.0,33.25
test,3-5-7,3,800,10000.0,33.0
test,3-5-7,3,900,10000.0,33.5
test,3-5,2,10,100.0,12.75
test,3-5,2,100,1.0,28.749999999999996
test,3-5,2,1000,10000.0,33.25
test,3-5,2,10000,10000.0,33.0
test,3-5,2,1500,10000.0,33.0
test,3-5,2,20,1.0,19.5
test,3-5,2,200,100.0,29.75
test,3-5,2,2000,10000.0,32.0
test,3-5,2,300,100.0,31.0
test,3-5,2,3000,10000.0,31.5
test,3-5,2,400,100.0,32.0
test,3-5,2,4000,10000.0,31.5
test,3-5,2,50,100.0,28.249999999999996
test,3-5,2,500,1000.0,33.0
test,3-5,2,5000,10000.0,32.0
test,3-5,2,600,1000.0,32.75
test,3-5,2,700,1000.0,33.5
test,3-5,2,800,10000.0,34.0
test,3-5,2,900,10000.0,32.75
test,3-6-7,3,10,0.01,13.25
test,3-6-7,3,100,10.0,30.25
test,3-6-7,3,1000,10000.0,34.0
test,3-6-7,3,10000,10000.0,33.5
test,3-6-7,3,1500,10000.0,32.25
test,3-6-7,3,20,10.0,20.0
test,3-6-7,3,200,100.0,30.75
test,3-6-7,3,2000,10000.0,32.25
test,3-6-7,3,300,10.0,32.0
test,3-6-7,3,3000,10000.0,31.75
test,3-6-7,3,400,1000.0,33.5
test,3-6-7,3,4000,10000.0,31.75
test,3-6-7,3,50,100.0,27.250000000000004
test,3-6-7,3,500,1000.0,32.75
test,3-6-7,3,5000,10000.0,32.25
test,3-6-7,3,600,10000.0,33.0
test,3-6-7,3,700,10000.0,33.0
test,3-6-7,3,800,10000.0,34.75
test,3-6-7,3,900,10000.0,34.0
test,3-6,2,10,1e-06,14.000000000000002
test,3-6,2,100,10.0,30.25
test,3-6,2,1000,10000.0,32.75
test,3-6,2,10000,10000.0,32.25
test,3-6,2,1500,10000.0,32.75
test,3-6,2,20,0.001,17.75
test,3-6,2,200,100.0,28.999999999999996
test,3-6,2,2000,10000.0,31.75
test,3-6,2,300,100.0,30.5
test,3-6,2,3000,10000.0,31.25
test,3-6,2,400,1000.0,32.5
test,3-6,2,4000,10000.0,31.25
test,3-6,2,50,100.0,28.249999999999996
test,3-6,2,500,1000.0,32.25
test,3-6,2,5000,10000.0,31.75
test,3-6,2,600,1000.0,32.25
test,3-6,2,700,10000.0,32.25
test,3-6,2,800,10000.0,32.75
test,3-6,2,900,10000.0,33.0
test,3-7,2,10,1.0,13.0
test,3-7,2,100,1.0,31.0
test,3-7,2,1000,10000.0,34.25
test,3-7,2,10000,10000.0,33.25
test,3-7,2,1500,10000.0,32.75
test,3-7,2,20,1e-06,19.0
test,3-7,2,200,10.0,31.0
test,3-7,2,2000,10000.0,32.0
test,3-7,2,300,10.0,31.75
test,3-7,2,3000,10000.0,32.5
test,3-7,2,400,100.0,34.0
test,3-7,2,4000,10000.0,31.75
test,3-7,2,50,10.0,27.250000000000004
test,3-7,2,500,1000.0,31.5
test,3-7,2,5000,10000.0,32.5
test,3-7,2,600,1000.0,32.0
test,3-7,2,700,10000.0,32.75
test,3-7,2,800,10000.0,32.25
test,3-7,2,900,10000.0,33.25
test,4-5-6,3,10,10.0,16.25
test,4-5-6,3,100,10.0,29.5
test,4-5-6,3,1000,10000.0,33.0
test,4-5-6,3,10000,10000.0,32.75
test,4-5-6,3,1500,10000.0,32.75
test,4-5-6,3,20,100.0,18.5
test,4-5-6,3,200,100.0,29.75
test,4-5-6,3,2000,10000.0,32.5
test,4-5-6,3,300,100.0,30.75
test,4-5-6,3,3000,10000.0,32.25
test,4-5-6,3,400,1000.0,33.5
test,4-5-6,3,4000,10000.0,31.75
test,4-5-6,3,50,100.0,27.250000000000004
test,4-5-6,3,500,1000.0,33.25
test,4-5-6,3,5000,10000.0,32.25
test,4-5-6,3,600,10000.0,34.0
test,4-5-6,3,700,10000.0,33.25
test,4-5-6,3,800,10000.0,33.5
test,4-5-6,3,900,10000.0,33.0
test,4-5-7,3,10,10.0,16.25
test,4-5-7,3,100,10.0,31.0
test,4-5-7,3,1000,10000.0,33.5
test,4-5-7,3,10000,10000.0,34.5
test,4-5-7,3,1500,10000.0,33.5
test,4-5-7,3,20,1000.0,20.0
test,4-5-7,3,200,100.0,30.0
test,4-5-7,3,2000,10000.0,33.0
test,4-5-7,3,300,100.0,32.75
test,4-5-7,3,3000,10000.0,33.25
test,4-5-7,3,400,100.0,34.5
test,4-5-7,3,4000,10000.0,32.75
test,4-5-7,3,50,10.0,27.750000000000004
test,4-5-7,3,500,1000.0,33.5
test,4-5-7,3,5000,10000.0,33.25
test,4-5-7,3,600,10000.0,33.75
test,4-5-7,3,700,10000.0,33.25
test,4-5-7,3,800,10000.0,33.75
test,4-5-7,3,900,10000.0,33.5
test,4-5,2,10,10.0,16.0
test,4-5,2,100,10.0,28.499999999999996
test,4-5,2,1000,10000.0,31.75
test,4-5,2,10000,10000.0,32.25
test,4-5,2,1500,10000.0,32.25
test,4-5,2,20,1e-06,20.0
test,4-5,2,200,100.0,29.5
test,4-5,2,2000,10000.0,32.0
test,4-5,2,300,1.0,30.75
test,4-5,2,3000,10000.0,31.75
test,4-5,2,400,1000.0,32.25
test,4-5,2,4000,10000.0,30.75
test,4-5,2,50,100.0,27.0
test,4-5,2,500,1000.0,34.0
test,4-5,2,5000,10000.0,32.0
test,4-5,2,600,1000.0,32.25
test,4-5,2,700,1000.0,33.25
test,4-5,2,800,10000.0,33.25
test,4-5,2,900,10000.0,32.0
test,4-6-7,3,10,1e-06,14.499999999999998
test,4-6-7,3,100,10.0,28.749999999999996
test,4-6-7,3,1000,10000.0,34.0
test,4-6-7,3,10000,10000.0,33.75
test,4-6-7,3,1500,10000.0,32.75
test,4-6-7,3,20,10.0,20.0
test,4-6-7,3,200,10.0,29.75
test,4-6-7,3,2000,10000.0,32.0
test,4-6-7,3,300,100.0,31.75
test,4-6-7,3,3000,10000.0,32.0
test,4-6-7,3,400,1000.0,33.25
test,4-6-7,3,4000,10000.0,32.25
test,4-6-7,3,50,10.0,27.0
test,4-6-7,3,500,1000.0,33.0
test,4-6-7,3,5000,10000.0,32.75
test,4-6-7,3,600,10000.0,34.0
test,4-6-7,3,700,10000.0,33.0
test,4-6-7,3,800,10000.0,35.0
test,4-6-7,3,900,10000.0,34.0
test,4-6,2,10,1e-06,13.750000000000002
test,4-6,2,100,1000.0,30.25
test,4-6,2,1000,10000.0,32.25
test,4-6,2,10000,10000.0,32.25
test,4-6,2,1500,10000.0,33.5
test,4-6,2,20,100.0,18.25
test,4-6,2,200,10.0,28.749999999999996
test,4-6,2,2000,10000.0,32.25
test,4-6,2,300,10.0,28.999999999999996
test,4-6,2,3000,10000.0,31.25
test,4-6,2,400,1000.0,33.0
test,4-6,2,4000,10000.0,31.5
test,4-6,2,50,10.0,28.000000000000004
test,4-6,2,500,1000.0,33.5
test,4-6,2,5000,10000.0,31.5
test,4-6,2,600,1000.0,32.5
test,4-6,2,700,10000.0,32.75
test,4-6,2,800,10000.0,33.5
test,4-6,2,900,10000.0,33.25
test,4-7,2,10,1e-06,14.000000000000002
test,4-7,2,100,10.0,30.25
test,4-7,2,1000,10000.0,33.25
test,4-7,2,10000,10000.0,33.25
test,4-7,2,1500,10000.0,33.0
test,4-7,2,20,10.0,20.0
test,4-7,2,200,10.0,28.749999999999996
test,4-7,2,2000,10000.0,32.5
test,4-7,2,300,100.0,31.5
test,4-7,2,3000,10000.0,32.0
test,4-7,2,400,100.0,31.25
test,4-7,2,4000,10000.0,31.5
test,4-7,2,50,1.0,26.75
test,4-7,2,500,1000.0,32.5
test,4-7,2,5000,10000.0,32.0
test,4-7,2,600,10000.0,33.75
test,4-7,2,700,10000.0,32.5
test,4-7,2,800,10000.0,32.75
test,4-7,2,900,10000.0,33.5
test,5-6-7,3,10,0.01,15.5
test,5-6-7,3,100,100.0,30.25
test,5-6-7,3,1000,10000.0,33.5
test,5-6-7,3,10000,10000.0,34.0
test,5-6-7,3,1500,10000.0,33.0
test,5-6-7,3,20,10.0,20.25
test,5-6-7,3,200,100.0,30.5
test,5-6-7,3,2000,10000.0,32.5
test,5-6-7,3,300,100.0,33.25
test,5-6-7,3,3000,10000.0,32.5
test,5-6-7,3,400,1000.0,32.5
test,5-6-7,3,4000,10000.0,32.25
test,5-6-7,3,50,10.0,26.75
test,5-6-7,3,500,1000.0,32.75
test,5-6-7,3,5000,10000.0,33.75
test,5-6-7,3,600,10000.0,34.0
test,5-6-7,3,700,10000.0,33.5
test,5-6-7,3,800,10000.0,34.0
test,5-6-7,3,900,10000.0,33.75
test,5-6,2,10,10.0,15.5
test,5-6,2,100,1.0,29.5
test,5-6,2,1000,10000.0,32.75
test,5-6,2,10000,10000.0,33.0
test,5-6,2,1500,10000.0,31.75
test,5-6,2,20,10.0,18.5
test,5-6,2,200,10.0,28.999999999999996
test,5-6,2,2000,10000.0,31.75
test,5-6,2,300,10.0,31.75
test,5-6,2,3000,10000.0,31.25
test,5-6,2,400,10.0,30.75
test,5-6,2,4000,10000.0,32.25
test,5-6,2,50,10.0,25.25
test,5-6,2,500,1000.0,32.0
test,5-6,2,5000,10000.0,32.75
test,5-6,2,600,1000.0,33.25
test,5-6,2,700,10000.0,32.75
test,5-6,2,800,10000.0,34.0
test,5-6,2,900,10000.0,33.0
test,5-7,2,10,100.0,15.0
test,5-7,2,100,1e-06,30.0
test,5-7,2,1000,10000.0,32.5
test,5-7,2,10000,10000.0,33.75
test,5-7,2,1500,10000.0,33.25
test,5-7,2,20,10.0,20.0
test,5-7,2,200,100.0,30.75
test,5-7,2,2000,10000.0,32.25
test,5-7,2,300,10.0,31.75
test,5-7,2,3000,10000.0,32.75
test,5-7,2,400,100.0,32.75
test,5-7,2,4000,10000.0,32.5
test,5-7,2,50,10.0,25.5
test,5-7,2,500,100.0,32.0
test,5-7,2,5000,10000.0,32.75
test,5-7,2,600,1000.0,33.5
test,5-7,2,700,1000.0,34.25
test,5-7,2,800,1000.0,33.5
test,5-7,2,900,10000.0,32.25
test,6-7,2,10,0.1,13.750000000000002
test,6-7,2,100,10.0,30.25
test,6-7,2,1000,10000.0,32.25
test,6-7,2,10000,10000.0,33.75
test,6-7,2,1500,10000.0,31.75
test,6-7,2,20,10.0,19.75
test,6-7,2,200,0.01,29.75
test,6-7,2,2000,10000.0,32.25
test,6-7,2,300,100.0,32.0
test,6-7,2,3000,10000.0,32.0
test,6-7,2,400,1000.0,33.25
test,6-7,2,4000,10000.0,32.5
test,6-7,2,50,0.1,23.75
test,6-7,2,500,1000.0,32.75
test,6-7,2,5000,10000.0,33.0
test,6-7,2,600,10000.0,33.0
test,6-7,2,700,10000.0,32.75
test,6-7,2,800,10000.0,33.25
test,6-7,2,900,10000.0,32.25
val,1-2-3-4-5-6-7,7,10,0.1,38.629999999999995
val,1-2-3-4-5-6-7,7,100,100.0,67.03099999999999
val,1-2-3-4-5-6-7,7,1000,10000.0,77.307
val,1-2-3-4-5-6-7,7,10000,10000.0,78.259
val,1-2-3-4-5-6-7,7,1500,10000.0,77.593
val,1-2-3-4-5-6-7,7,20,100.0,50.904
val,1-2-3-4-5-6-7,7,200,100.0,74.881
val,1-2-3-4-5-6-7,7,2000,10000.0,78.021
val,1-2-3-4-5-6-7,7,300,1000.0,75.452
val,1-2-3-4-5-6-7,7,3000,10000.0,78.116
val,1-2-3-4-5-6-7,7,400,1000.0,76.546
val,1-2-3-4-5-6-7,7,4000,10000.0,78.069
val,1-2-3-4-5-6-7,7,50,100.0,62.464
val,1-2-3-4-5-6-7,7,500,1000.0,77.117
val,1-2-3-4-5-6-7,7,5000,10000.0,77.926
val,1-2-3-4-5-6-7,7,600,10000.0,77.069
val,1-2-3-4-5-6-7,7,700,1000.0,77.069
val,1-2-3-4-5-6-7,7,800,10000.0,76.927
val,1-2-3-4-5-6-7,7,900,10000.0,76.927
val,1-2-3,3,10,0.001,37.583
val,1-2-3,3,100,1000.0,64.27199999999999
val,1-2-3,3,1000,10000.0,73.406
val,1-2-3,3,10000,10000.0,75.119
val,1-2-3,3,1500,10000.0,74.072
val,1-2-3,3,20,1000.0,47.241
val,1-2-3,3,200,1000.0,69.648
val,1-2-3,3,2000,10000.0,73.977
val,1-2-3,3,300,10000.0,71.503
val,1-2-3,3,3000,10000.0,74.167
val,1-2-3,3,400,10000.0,72.693
val,1-2-3,3,4000,10000.0,74.833
val,1-2-3,3,50,0.1,57.992
val,1-2-3,3,500,10000.0,72.978
val,1-2-3,3,5000,10000.0,75.119
val,1-2-3,3,600,10000.0,73.073
val,1-2-3,3,700,10000.0,73.882
val,1-2-3,3,800,10000.0,73.359
val,1-2-3,3,900,10000.0,73.54899999999999
val,1-2-4,3,10,0.01,37.488
val,1-2-4,3,100,1000.0,63.939
val,1-2-4,3,1000,10000.0,73.787
val,1-2-4,3,10000,10000.0,74.881
val,1-2-4,3,1500,10000.0,74.02499999999999
val,1-2-4,3,20,1000.0,47.479
val,1-2-4,3,200,1000.0,69.696
val,1-2-4,3,2000,10000.0,74.02499999999999
val,1-2-4,3,300,10000.0,71.265
val,1-2-4,3,3000,10000.0,74.215
val,1-2-4,3,400,10000.0,72.693
val,1-2-4,3,4000,10000.0,74.59599999999999
val,1-2-4,3,50,100.0,58.611000000000004
val,1-2-4,3,500,10000.0,72.883
val,1-2-4,3,5000,10000.0,74.786
val,1-2-4,3,600,10000.0,73.264
val,1-2-4,3,700,10000.0,73.501
val,1-2-4,3,800,10000.0,73.644
val,1-2-4,3,900,10000.0,73.69200000000001
val,1-2-5,3,10,100.0,37.726
val,1-2-5,3,100,1000.0,64.36699999999999
val,1-2-5,3,1000,10000.0,75.024
val,1-2-5,3,10000,10000.0,77.117
val,1-2-5,3,1500,10000.0,75.119
val,1-2-5,3,20,10.0,49.857
val,1-2-5,3,200,100.0,71.456
val,1-2-5,3,2000,10000.0,75.69
val,1-2-5,3,300,1000.0,72.693
val,1-2-5,3,3000,10000.0,75.452
val,1-2-5,3,400,1000.0,74.167
val,1-2-5,3,4000,10000.0,75.88000000000001
val,1-2-5,3,50,100.0,60.324
val,1-2-5,3,500,10000.0,73.54899999999999
val,1-2-5,3,5000,10000.0,76.40299999999999
val,1-2-5,3,600,10000.0,73.882
val,1-2-5,3,700,10000.0,74.929
val,1-2-5,3,800,10000.0,74.881
val,1-2-5,3,900,10000.0,74.59599999999999
val,1-2-6,3,10,1e-06,37.821
val,1-2-6,3,100,1000.0,64.7
val,1-2-6,3,1000,10000.0,74.738
val,1-2-6,3,10000,10000.0,76.45100000000001
val,1-2-6,3,1500,10000.0,74.833
val,1-2-6,3,20,1.0,49.239
val,1-2-6,3,200,1000.0,70.98
val,1-2-6,3,2000,10000.0,75.642
val,1-2-6,3,300,1000.0,72.36
val,1-2-6,3,3000,10000.0,75.119
val,1-2-6,3,400,1000.0,73.264
val,1-2-6,3,4000,10000.0,75.97500000000001
val,1-2-6,3,50,100.0,60.370999999999995
val,1-2-6,3,500,10000.0,73.59700000000001
val,1-2-6,3,5000,10000.0,76.261
val,1-2-6,3,600,10000.0,74.215
val,1-2-6,3,700,10000.0,74.643
val,1-2-6,3,800,10000.0,74.358
val,1-2-6,3,900,10000.0,74.405
val,1-2-7,3,10,1.0,37.964
val,1-2-7,3,100,1000.0,66.93599999999999
val,1-2-7,3,1000,10000.0,77.878
val,1-2-7,3,10000,10000.0,79.448
val,1-2-7,3,1500,10000.0,78.497
val,1-2-7,3,20,10.0,49.857
val,1-2-7,3,200,100.0,72.883
val,1-2-7,3,2000,10000.0,78.735
val,1-2-7,3,300,100.0,74.453
val,1-2-7,3,3000,10000.0,78.592
val,1-2-7,3,400,1000.0,75.928
val,1-2-7,3,4000,10000.0,78.925
val,1-2-7,3,50,0.1,62.131
val,1-2-7,3,500,10000.0,76.213
val,1-2-7,3,5000,10000.0,78.972
val,1-2-7,3,600,10000.0,76.78399999999999
val,1-2-7,3,700,10000.0,77.25999999999999
val,1-2-7,3,800,10000.0,77.545
val,1-2-7,3,900,10000.0,77.783
val,1-2,2,10,0.1,37.203
val,1-2,2,100,1000.0,63.844
val,1-2,2,1000,10000.0,73.454
val,1-2,2,10000,10000.0,74.453
val,1-2,2,1500,10000.0,72.978
val,1-2,2,20,1000.0,47.288000000000004
val,1-2,2,200,1000.0,69.267
val,1-2,2,2000,10000.0,73.501
val,1-2,2,300,10000.0,70.93199999999999
val,1-2,2,3000,10000.0,73.739
val,1-2,2,400,10000.0,72.074
val,1-2,2,4000,10000.0,74.11999999999999
val,1-2,2,50,10.0,58.373
val,1-2,2,500,10000.0,72.598
val,1-2,2,5000,10000.0,74.405
val,1-2,2,600,10000.0,73.026
val,1-2,2,700,10000.0,73.59700000000001
val,1-2,2,800,10000.0,73.026
val,1-2,2,900,10000.0,73.454
val,1-3-4,3,10,1.0,37.488
val,1-3-4,3,100,100.0,64.51
val,1-3-4,3,1000,10000.0,73.739
val,1-3-4,3,10000,10000.0,74.786
val,1-3-4,3,1500,10000.0,73.787
val,1-3-4,3,20,1000.0,47.621
val,1-3-4,3,200,1000.0,70.124
val,1-3-4,3,2000,10000.0,73.69200000000001
val,1-3-4,3,300,10000.0,71.36099999999999
val,1-3-4,3,3000,10000.0,74.31
val,1-3-4,3,400,10000.0,72.693
val,1-3-4,3,4000,10000.0,74.643
val,1-3-4,3,50,1.0,58.516
val,1-3-4,3,500,10000.0,72.931
val,1-3-4,3,5000,10000.0,74.929
val,1-3-4,3,600,10000.0,73.359
val,1-3-4,3,700,10000.0,73.359
val,1-3-4,3,800,10000.0,73.787
val,1-3-4,3,900,10000.0,73.59700000000001
val,1-3-5,3,10,100.0,37.726
val,1-3-5,3,100,0.1,65.081
val,1-3-5,3,1000,10000.0,74.881
val,1-3-5,3,10000,10000.0,77.069
val,1-3-5,3,1500,10000.0,75.119
val,1-3-5,3,20,1e-06,49.857
val,1-3-5,3,200,10.0,71.028
val,1-3-5,3,2000,10000.0,75.452
val,1-3-5,3,300,1000.0,73.073
val,1-3-5,3,3000,10000.0,75.167
val,1-3-5,3,400,1000.0,74.215
val,1-3-5,3,4000,10000.0,75.737
val,1-3-5,3,50,100.0,60.181
val,1-3-5,3,500,1000.0,74.263
val,1-3-5,3,5000,10000.0,76.45100000000001
val,1-3-5,3,600,1000.0,74.263
val,1-3-5,3,700,10000.0,74.929
val,1-3-5,3,800,10000.0,74.786
val,1-3-5,3,900,10000.0,74.929
val,1-3-6,3,10,1e-06,37.916
val,1-3-6,3,100,10.0,65.176
val,1-3-6,3,1000,10000.0,74.786
val,1-3-6,3,10000,10000.0,76.546
val,1-3-6,3,1500,10000.0,74.833
val,1-3-6,3,20,1.0,49.524
val,1-3-6,3,200,1000.0,71.218
val,1-3-6,3,2000,10000.0,75.214
val,1-3-6,3,300,1000.0,72.598
val,1-3-6,3,3000,10000.0,75.309
val,1-3-6,3,400,1000.0,73.454
val,1-3-6,3,4000,10000.0,76.118
val,1-3-6,3,50,10.0,59.419999999999995
val,1-3-6,3,500,10000.0,73.739
val,1-3-6,3,5000,10000.0,76.213
val,1-3-6,3,600,10000.0,74.263
val,1-3-6,3,700,10000.0,74.453
val,1-3-6,3,800,10000.0,74.11999999999999
val,1-3-6,3,900,10000.0,74.453
val,1-3-7,3,10,1.0,37.631
val,1-3-7,3,100,1000.0,66.794
val,1-3-7,3,1000,10000.0,78.211
val,1-3-7,3,10000,10000.0,79.448
val,1-3-7,3,1500,10000.0,78.306
val,1-3-7,3,20,0.1,50.428
val,1-3-7,3,200,100.0,73.644
val,1-3-7,3,2000,10000.0,78.449
val,1-3-7,3,300,10.0,74.976
val,1-3-7,3,3000,10000.0,79.11500000000001
val,1-3-7,3,400,1000.0,75.833
val,1-3-7,3,4000,10000.0,78.877
val,1-3-7,3,50,100.0,61.846000000000004
val,1-3-7,3,500,10000.0,76.736
val,1-3-7,3,5000,10000.0,78.972
val,1-3-7,3,600,10000.0,76.594
val,1-3-7,3,700,10000.0,77.25999999999999
val,1-3-7,3,800,10000.0,77.402
val,1-3-7,3,900,10000.0,77.64
val,1-3,2,10,10.0,37.203
val,1-3,2,100,1000.0,64.129
val,1-3,2,1000,10000.0,73.311
val,1-3,2,10000,10000.0,74.358
val,1-3,2,1500,10000.0,73.311
val,1-3,2,20,1000.0,47.382999999999996
val,1-3,2,200,1000.0,69.838
val,1-3,2,2000,10000.0,73.69200000000001
val,1-3,2,300,1000.0,70.98
val,1-3,2,3000,10000.0,73.92999999999999
val,1-3,2,400,1000.0,72.16900000000001
val,1-3,2,4000,10000.0,74.167
val,1-3,2,50,10.0,57.611999999999995
val,1-3,2,500,10000.0,72.407
val,1-3,2,5000,10000.0,74.358
val,1-3,2,600,10000.0,73.12100000000001
val,1-3,2,700,10000.0,73.359
val,1-3,2,800,10000.0,73.359
val,1-3,2,900,10000.0,73.21600000000001
val,1-4-5,3,10,100.0,37.488
val,1-4-5,3,100,10.0,64.84299999999999
val,1-4-5,3,1000,10000.0,74.786
val,1-4-5,3,10000,10000.0,76.87899999999999
val,1-4-5,3,1500,10000.0,75.119
val,1-4-5,3,20,10.0,49.905
val,1-4-5,3,200,100.0,71.836
val,1-4-5,3,2000,10000.0,75.309
