number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_a_7,params_f_0,params_f_1,params_f_2,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_high_0,params_high_1,params_high_2,params_high_3,params_high_4,params_high_5,params_high_6,params_high_7,params_low_0,params_low_1,params_low_2,params_low_3,params_low_4,params_low_5,params_low_6,params_low_7,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,params_u_dc_7,state
10,0.5794481446241675,2025-11-04 20:27:13.237158,2025-11-04 21:28:26.777393,0 days 01:01:13.540235,-1.9468696439396052,1.2752611376634877,-4.292912084306028,1.7433004027330308,4.900585062392803,1.5002522985661524,-4.926747582394535,4.898423751046249,2464.876315363323,3287.069778200953,4529.174280594789,6743.946598233676,9791.151097745089,10143.294609403765,13828.799062151285,14955.284814495035,3070,3971,6474,7548,9555,11060,13161,15882,504,2583,4029,6624,8041,9541,11069,12835,0.010893923536835534,0.9198520939108867,0.07066908056209664,0.0574502941340746,0.35966855363718714,0.9753287500484197,0.7285161996855891,0.9883862768869753,COMPLETE
11,0.483349191246432,2025-11-04 21:28:27.078047,2025-11-04 22:29:41.669728,0 days 01:01:14.591681,-2.2738479568028405,1.6172354929814121,-4.799362026513883,1.6908206646831714,4.426681468016907,1.4976898201605684,-4.58048918311997,4.454164067457797,2396.686137814771,3200.142280956983,4538.7858282952575,6765.401713367351,8791.593376514375,10035.238785675036,13985.66839201629,14964.071016533742,3161,3990,6458,7535,9571,11056,13161,15866,499,2593,3953,6716,8027,9520,11061,12840,0.023823433785873607,0.9455974996896419,0.04182503821043626,0.056240397445796786,0.305536191444013,0.9909837047323747,0.7273429549660233,0.9918736955393775,COMPLETE
12,0.38867745004757376,2025-11-04 22:29:42.017806,2025-11-04 23:30:56.464336,0 days 01:01:14.446530,-1.8837880938059186,1.0212618458484184,-3.1992772511091117,1.5140198928393918,4.918007392211771,0.703429081208826,-3.9499042025091198,-4.83313754145764,2474.5761963308983,3395.426861151364,4507.702776291476,6561.7792472246565,9938.372147097074,11242.096965900228,13591.049661556699,14886.78519994333,3071,4211,6497,7680,9594,11085,13104,15910,505,2687,4146,6619,7935,9544,11094,12901,0.24404001330353345,0.8123994108353896,0.14919947470530803,0.0887364956461959,0.5119981227325102,0.9698602450783762,0.7306018827303339,0.768474534599746,COMPLETE
13,0.31874405328258804,2025-11-04 23:30:56.761060,2025-11-05 00:32:09.513246,0 days 01:01:12.752186,-0.4113080247106293,-2.4674767555290704,-4.677385049582909,1.9147821797238245,3.316574462289084,1.5719779915530143,-2.5530608683864946,4.71004379633034,2074.0567564217963,2989.3193437672817,5480.828149220791,6925.53163626867,9765.847301786258,10215.895324003608,13677.001803384468,15074.422517746963,2931,4078,6301,8233,9335,11202,12851,15674,412,2521,4131,6499,8167,9419,11265,13140,0.19604581360936751,0.8341362354789188,0.21900171411263036,0.01100385148201316,0.28454574713395636,0.7470507047974534,0.6700404113978556,0.7387924555133342,COMPLETE
14,0.4971455756422455,2025-11-05 00:32:09.775524,2025-11-05 01:33:31.966054,0 days 01:01:22.190530,-3.0780637231975234,1.962050269066276,-2.7087383097798057,-0.42720039822734734,2.778260106048094,4.836797274564954,-2.337526596860111,-2.331359079588615,2043.8286987795275,3343.5785215481606,4732.473591223572,6090.580954848698,9617.816503064247,11213.458893462985,13282.155543077548,14099.636802544399,2930,4332,6568,7713,9646,11515,13322,16003,409,2747,4209,6440,7838,9648,11245,13833,0.22091585308920003,0.4724748842568768,0.017201885785638527,0.9707023043510008,0.6199444933785564,0.7396960730360064,0.8370906550457403,0.998999938584634,COMPLETE
15,0.3082778306374881,2025-11-05 01:33:32.300146,2025-11-05 02:34:48.241776,0 days 01:01:15.941630,-0.9796884516665892,-1.583358831676661,-2.6036207635327306,3.139500086262859,-0.28824396868062596,-4.848385116966398,-2.7947256865541115,2.715151486851439,2164.070302344399,3573.310091316205,4711.087209665752,7512.654630093143,8850.293121466337,10505.54406052361,13606.554820187343,15117.27157868012,3018,4238,6304,7505,9417,11194,13366,16224,451,2964,3960,6570,8108,9398,11189,13001,0.11248195193514343,0.8923048778762167,0.28132987050604574,0.2334809233160346,0.17880048675324337,0.4324224920175437,0.5873302957679627,0.8352805945863044,COMPLETE
16,0.2878211227402474,2025-11-05 02:34:48.506988,2025-11-05 03:35:45.204245,0 days 01:00:56.697257,1.1773027848686066,0.6158043465763496,-4.096288624731351,0.7653737271078291,-2.4254638576061134,-0.09561015796485405,-0.5686093524807854,-3.349808488899212,1875.3709778759187,2850.656478293351,5752.847834800565,6544.78395331908,8582.496061392945,10931.086953385493,12942.840253150436,14791.801647033943,2793,3946,5908,8237,9281,11182,13047,15538,353,2463,4080,6308,8246,10231,11352,13272,0.3391768706559056,0.684587558251105,0.5914677366459673,0.4390568237179075,0.4062957445934482,0.6322741795569274,0.8318065033269917,0.6036302563856571,COMPLETE
17,0.45290199809705045,2025-11-05 03:35:45.533858,2025-11-05 04:36:51.844026,0 days 01:01:06.310168,-3.3267021085568116,2.472713009292353,-1.684791532087837,2.245592647498155,-0.009796481021911774,2.648758866445375,-4.6679004368930865,3.313730800482018,2293.8772195967067,3236.7451109407493,4715.424119721018,7854.0573855271805,9031.516104300696,11489.109880141837,13752.29890782853,15224.408575096631,3164,4077,6232,7721,9500,11502,13257,15760,462,2625,4297,6712,7837,9613,11153,13574,0.017308846301958777,0.7440415864506662,0.1302401589839955,0.18741637776283063,0.20022425695101298,0.869354482747542,0.36542600833402994,0.3891847809880728,COMPLETE
18,0.45956232159847765,2025-11-05 04:36:52.156513,2025-11-05 05:37:58.547410,0 days 01:01:06.390897,0.9645656196469019,-3.3736207641777227,0.24528510958640037,0.6309943330646848,3.3736427352268956,-3.434237407824397,-1.4346808856730582,-1.6053686880377902,1890.4732510435144,2564.83974860085,5517.785550915225,7049.912474304348,9909.810026071531,10228.010308150051,13434.368940696748,15996.329397570425,2820,4541,6566,8347,9674,11266,12842,15894,345,2410,4190,6587,8286,9812,12040,13084,0.154915396079772,0.5038418456994973,0.3120272795891976,0.4923040687592091,0.5752420552075826,0.5029092432989293,0.7823035160595893,0.44352413808219504,COMPLETE
19,0.3610846812559467,2025-11-05 05:37:58.919029,2025-11-05 06:39:04.553669,0 days 01:01:05.634640,-1.0035216887559368,-4.435726019603429,-2.141255683184198,-1.4347932016106872,1.15095399168221,0.7873517531107803,-3.6655914915096846,-3.891777170046102,408.20121709842624,3733.0755633733606,5054.641675662206,6279.380430458284,9572.09330029804,11150.350218268686,13076.716050436258,14762.805271890518,3026,4304,6366,8126,9482,11433,13069,15679,145,2957,4632,6373,8022,9762,11369,13360,0.3570461170341047,0.9973393135587268,0.16967597843848858,0.08249394320470274,0.4086198397627768,0.6317411670565669,0.9097821069710434,0.6893676308764434,COMPLETE
